S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
192,Grace Fellowship,Registered,S87SS0052C,Not Applicable,Religious,Christianity,
193,Gratia Dei Sola Media,Deregistered,T09SS0193L,Not Applicable,Religious,Christianity,Supports other Charities Training & education
194,GUI CI MAITREYA ASSOCIATION,Registered,S91SS0017B,Not Applicable,Religious,Buddhism,Direct Services
195,HAPPY ARTS ENTERPRISE LTD.,Deregistered,200501743W,Not Applicable,Social and Welfare,Disability (Adult),
196,HCA HOSPICE LIMITED,Registered with IPC,202114297R,From 01/10/2022 to 30/9/2025,Health,Hospice,"Direct Services Research Public awareness, promotion & advisory"
197,HEALTH ENDOWMENT FUND,Registered,T06CC3003D,Not Applicable,Health,,"Public awareness, promotion & advisory"
198,HEAN THUAN TOH TONG,Registered,S80SS0043C,Not Applicable,Religious,Taoism,Direct Services
199,HEARTBEAT (SINGAPORE),Registered,T12SS0040H,Not Applicable,Social and Welfare,Family,Direct Services Training & education
200,Helpful Care Group,Registered,S99SS0036A,Not Applicable,Social and Welfare,Community,
201,Helping and Empowering our Neighbours (HEN),Registered,T18SS0191F,Not Applicable,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Direct Services Financial assistance, bursaries & scholarships Training & education"
202,HELPING JOY LTD.,Registered,201622272N,Not Applicable,Social and Welfare,"Community,Disability (Adult),Eldercare,Family,Support Groups","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
203,Hian Yong Tuah Toh Tong,Deregistered,T04SS0033J,Not Applicable,Religious,Others,Direct Services
204,HIAP TIEN KENG LENG POH TIAN,Registered,S91SS0002F,Not Applicable,Religious,Taoism,Direct Services
205,Hin Ann Thain Hiaw Keng,Registered,S81SS0017K,Not Applicable,Religious,Taoism,
206,Hindu Centre,Registered,S78SS0017J,Not Applicable,Religious,Hinduism,
207,HIRA SOCIETY,Registered,T13SS0039E,Not Applicable,Social and Welfare,Support Groups,"Financial assistance, bursaries & scholarships Training & education"
